,weeb_score,furry_score
count,500000.0,500000.0
mean,0.002629177454677008,0.0027680335244916056
std,0.0024784018061511466,0.0026040382684054215
min,0.0,0.0
25%,0.0006993159348144,0.0007085827776852
50%,0.00185798208956795,0.0019628136452512
75%,0.003919459665477825,0.0041360894372700005
max,0.0185510635202154,0.0196640503194346
