combined_label,proportion
Normie-None,55.29
Slight Furry-Slight Weeb,10.67
Furry-Weeb,7.56
Slight Weeb-Slight Furry,6.89
Slight Furry-None,4.7
Slight Weeb-None,4.7
Weeb-Furry,4.69
Furry-Slight Weeb,2.74
Weeb-Slight Furry,2.67
Slight Furry-Weeb,0.07
Weeb-None,0.01
Furry-None,0.01
