term,furry_freq,non_furry_freq,specificity,similarity,combined_score
furry,0.09404374048353557,0.0,20.661855650354816,0.0,14.463298955248371
uwu,0.04732870504732441,0.0,19.97521263653318,0.0,13.982648845573225
owo,0.023647134096305363,0.0,19.281337582921992,0.7290236353874207,13.71564339866162
paws,0.029085950778535815,0.0,19.48835092087709,0.0,13.641845644613962
fursona,0.021997594077265953,0.0,19.209028742758058,0.0,13.44632011993064
fursuit,0.01710092718213439,0.0,18.957228340022105,0.0,13.270059838015474
furryartist,0.006979334305177318,0.0,18.06104920576134,0.7762168645858765,12.8755995034087
furryfandom,0.005892736762071232,0.0,17.8918162031905,0.6976633071899414,12.733570334390333
yiff,0.003982849246524522,0.0,17.50009313032109,0.6539559364318848,12.446251972154329
furrynsfw,0.0039549582272889175,0.0,17.4930657154066,0.6624228358268738,12.443872851532683
furryoc,0.002403421808592478,0.0,16.994989168078174,0.7390169501304626,12.11819750269386
furryartwork,0.0030354681765817934,0.0,17.228461355687184,0.0,12.059922948981027
fursuiter,0.0019409351927747467,0.0,16.78126561753373,0.7607484459877014,11.975110466069921
furrycommunity,0.001702762701443031,0.0,16.650347760168327,0.6436280608177185,11.848331850363143
anthroart,0.0017111977944540937,0.0,16.6552892992937,0.6218366622924805,11.845253508193332
scalie,0.0015465563830028759,0.0,16.554126486552928,0.6255722641944885,11.775560219845396
henti,0.0019794656634248915,0.0,16.80092264280568,0.0,11.760645849963975
echi,0.0019794656634248915,0.0,16.80092264280568,0.0,11.760645849963975
furryporn,0.001748598823955253,0.0,16.67691050334777,0.0,11.673837352343439
commsopen,0.0016766413615948053,0.0,16.634888313442822,0.0,11.644421819409974
fursuiting,0.0012159054784684545,0.0,16.313584782201623,0.7245634198188782,11.636878373486798
fursuitmaker,0.0011259977354346885,0.0,16.23676525832467,0.7047328948974609,11.577155549296508
kemono,0.0014434656775756086,0.0,16.485142662849128,0.0,11.53959986399439
vrchatfurry,0.001395262213594597,0.0,16.45117808697371,0.0,11.515824660881595
vrchatphotography,0.0011849948590164252,0.0,16.28783417154179,0.0,11.40148392007925
commissionsopen,0.0011823314812268594,0.0,16.285584056174923,0.0,11.399908839322444
happy fursuitfriday,0.0010313286513203219,0.0,16.148943671626096,0.0,11.304260570138267
furrycommission,0.0010127165460352134,0.0,16.130732119461065,0.0,11.291512483622745
furryai,0.0009801146959430187,0.0,16.098010075497964,0.0,11.268607052848575
vrc,0.0009687191721392035,0.0,16.086315233058567,0.0,11.260420663140996
murrsuit,0.0009567519215106447,0.0,16.073884609173042,0.0,11.251719226421129
fursuiteveryday,0.0006607608289385769,0.0,15.703732465525952,0.7036145329475403,11.20369708575243
sfwfurry,0.0008769409431418624,0.0,15.986780136480712,0.0,11.190746095536499
thicc,0.0008702101550613901,0.0,15.979075226911078,0.0,11.185352658837754
panda,0.0007718643569539543,0.0,15.859149332692217,0.0,11.101404532884551
therian,0.0007530809049775642,0.0,15.834513170321584,0.0,11.084159219225109
furryadopt,0.0007255796256440977,0.0,15.797311328881912,0.0,11.058117930217339
hyena,0.0007119177502025262,0.0,15.778302897802462,0.0,11.044812028461722
arttrade,0.0007079973135932193,0.0,15.772780812546308,0.0,11.040946568782415
fursuits,0.0005268568971859743,0.0,15.477269531106487,0.6760085225105286,11.036891228527699
