,weeb_score,furry_score
count,5997697.0,5997697.0
mean,0.0026299217716930804,0.0027671750298411007
std,0.002478592524613899,0.002605344093552246
min,0.0,0.0
25%,0.0006965961878099,0.0007066375353241
50%,0.0018605673843528,0.0019613905253819
75%,0.0039204226850024,0.0041316280990217
max,0.0210683799449191,0.0237736972620083
