combined_label,proportion
Normie-None,66.02
Slight Furry-Slight Weeb,9.77
Slight Weeb-Slight Furry,6.11
Slight Furry-None,3.98
Slight Weeb-None,3.98
Furry-Weeb,3.74
Furry-Slight Weeb,2.14
Weeb-Furry,2.11
Weeb-Slight Furry,2.07
Slight Furry-Weeb,0.07
Weeb-None,0.0
Furry-None,0.0
