combined_label,proportion
Normie-None,75.04
Slight Furry-None,7.6
Furry-Weeb,7.4
Weeb-Furry,2.25
Slight Weeb-None,2.14
Weeb-Slight Furry,1.82
Furry-Slight Weeb,1.52
Weeb-None,1.41
Furry-None,0.84
