,weeb_score,furry_score
count,5997698.0,5997698.0
mean,0.002022156428483602,0.0021268549488560728
std,0.002821283373639683,0.002964997034582454
min,0.0,0.0
25%,0.0,0.0
50%,0.0007513644878292,0.0008115126683234
75%,0.0031438820680281,0.0034268958631142
max,0.0455415055322077,0.0392366343874908
